No,Tutupan Lahan,Curah Hujan,Kerapatan Sungai,Jarak dari Sungai,Ketinggian Lahan,Kemiringan Lereng,Jenis Tanah,Kelas Bahaya Banjir,Desa/Kelurahan,Luas Km²
142,Tegalan/Ladang,2500 - 3000 mm/tahun,">3,10 km/km²",0 - 25 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Condongcatur,0.000038
143,Perkebunan/Kebun,2500 - 3000 mm/tahun,">3,10 km/km²",0 - 25 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Condongcatur,0.000241
144,Permukiman,2500 - 3000 mm/tahun,">3,10 km/km²",0 - 25 m,100 - 200 m, 25 - 45 %,Regosol,Tinggi,Condongcatur,0.000066
145,Tegalan/Ladang,2500 - 3000 mm/tahun,">3,10 km/km²",25 - 100 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Condongcatur,0.001389
146,Perkebunan/Kebun,2500 - 3000 mm/tahun,">3,10 km/km²",25 - 100 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Condongcatur,0.000965
147,Permukiman,2500 - 3000 mm/tahun,">3,10 km/km²",25 - 100 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Condongcatur,0.001624
148,Permukiman,2500 - 3000 mm/tahun,">3,10 km/km²",100 - 250 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Condongcatur,0.001148
149,Tegalan/Ladang,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,0 - 8 %,Regosol,Sedang,Caturtunggal,0.025948
150,Tegalan/Ladang,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,0 - 8 %,Regosol,Sedang,Maguwoharjo,0.087375
151,Tegalan/Ladang,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,0 - 8 %,Regosol,Sedang,Condongcatur,0.006313
152,Perkebunan/Kebun,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,0 - 8 %,Regosol,Sedang,Caturtunggal,0.00512
153,Perkebunan/Kebun,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,0 - 8 %,Regosol,Sedang,Maguwoharjo,0.041585
